7 4 3  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
7 5 2  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
7 5 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
7 5 2  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
7 5 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
7 5 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
7 5 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
7 5 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
7 4 3  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
7 6 1  IJCC..IJDD.FI.KAAFEEK.LH....LH.GGGBB
7 5 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
7 4 3  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
7 5 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
7 5 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
7 5 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
7 5 2  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
7 5 2  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
7 5 2  IJ..CCIJDD.FI.KAAFEEK.LH....LH.GGGBB
7 5 2  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
7 4 3  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
7 5 2  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
8 6 2  IJ..CCIJDD.FI.KAAFEEK.LH....LH.GGGBB
8 5 3  IJ..CCIJDDLFIAA.LFEEK..H..K..H.GGGBB
8 5 3  IJ..CCIJDDLFIAA.LFEEK..H..K..H.GGGBB
