0 3 4  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
0 4 4  IJ.CC.IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 3 4  IJ..CCIJDD.FI.AALFEEK.LH..K..H.GGGBB
0 5 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 5 4  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 6 4  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 5 4  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 4 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 4 4  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 3 4  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 9 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 4 4  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 12 4  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 1 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 6 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 3 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 12 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 11 4  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 12 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 5 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 12 4  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
